idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
766112,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,5,0,3,0,3,9,16526806,BRSAL,BRARE,2501,"Granel Sólido",0,889,Desembarcados,"",0
787610,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,17117686,BRSAL,BRARE,2501,"Granel Sólido",0,785,Desembarcados,"",0
742325,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,15,6,2,0,8,24,15878058,BRSAL,BRARE,2501,"Granel Sólido",0,847,Desembarcados,"",0
751526,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,3,16116144,BRSAL,BRARE,2501,"Granel Sólido",0,960,Desembarcados,"",0
753571,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,19,0,3,0,3,23,16183079,BRSAL,BRARE,2501,"Granel Sólido",0,804,Desembarcados,"",0
767281,BRARE,T1,"Areia Branca",2016,jun,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,6,0,7,7,16691181,BRSAL,BRARE,2501,"Granel Sólido",0,1912,Desembarcados,"",0
768545,BRARE,T1,"Areia Branca",2016,jun,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,12,0,5,0,5,17,16691183,BRSAL,BRARE,2501,"Granel Sólido",0,1433,Desembarcados,"",0
736235,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,3,0,18,4,23,26,15863379,BRSAL,BRARE,2501,"Granel Sólido",0,1220,Desembarcados,"",0
773103,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,4,0,4,7,16700195,BRSAL,BRARE,2501,"Granel Sólido",0,1885,Desembarcados,"",0
779418,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,16896766,BRSAL,BRARE,2501,"Granel Sólido",0,1419,Desembarcados,"",0
800873,BRARE,"Cais Comercial","Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,1,0,3,0,4,6,17553627,BRSAL,BRARE,2501,"Granel Sólido",0,1258,Desembarcados,"",0
787277,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,4,0,4,0,4,8,17116677,BRSAL,BRARE,2501,"Granel Sólido",0,1042,Desembarcados,"",0
788464,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,16,0,5,0,6,22,17129607,BRSAL,BRARE,2501,"Granel Sólido",0,1760,Desembarcados,"",0
772974,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,5,0,5,5,16691102,BRSAL,BRARE,2501,"Granel Sólido",0,1626,Desembarcados,"",0
790228,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,5,0,6,0,22,27,17204693,BRSAL,BRARE,2501,"Granel Sólido",0,1438,Desembarcados,"",0
756221,BRARE,T1,"Areia Branca",2016,abr,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,14,0,28,0,29,43,16263032,BRSAL,BRARE,2501,"Granel Sólido",0,1865,Desembarcados,"",0
792077,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,9,0,4,0,4,13,17275661,BRSAL,BRARE,2501,"Granel Sólido",0,1035,Desembarcados,"",0
764474,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,6,0,4,0,5,11,16500200,BRSAL,BRARE,2501,"Granel Sólido",0,1272,Desembarcados,"",0
778471,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,4,4,16845288,BRSAL,BRARE,2501,"Granel Sólido",0,1523,Desembarcados,"",0
760203,BRARE,T1,"Areia Branca",2016,abr,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,4,0,4,6,16349385,BRSAL,BRARE,2501,"Granel Sólido",0,1301,Desembarcados,"",0
798348,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,9,0,10,11,17552184,BRSAL,BRARE,2501,"Granel Sólido",0,1898,Desembarcados,"",0
790389,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,6,0,6,8,17207071,BRSAL,BRARE,2501,"Granel Sólido",0,1347,Desembarcados,"",0
776904,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,7,0,7,7,16839483,BRSAL,BRARE,2501,"Granel Sólido",0,1509,Desembarcados,"",0
781530,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,36,0,3,0,3,40,16948084,BRSAL,BRARE,2501,"Granel Sólido",0,962,Desembarcados,"",0
786368,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,17109740,BRSAL,BRARE,2501,"Granel Sólido",0,967,Desembarcados,"",0
804614,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,0,0,6,0,6,6,17646740,BRSAL,BRARE,2501,"Granel Sólido",0,1605,Desembarcados,"",0
741089,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,10,0,10,11,15876200,BRSAL,BRARE,2501,"Granel Sólido",0,1613,Desembarcados,"",0
